Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,68.480003,69.892502,68.440002,69.082497,68.414993,5958400
2020-07-22,69.117500,70.599998,68.627502,70.105003,69.427612,6368000
2020-07-23,70.000000,71.082497,69.777496,70.242500,69.563789,8150000
2020-07-24,70.720001,71.407501,69.502502,70.062500,69.385521,7716000
2020-07-27,70.250000,70.402496,69.025002,69.407501,68.736855,8909200
2020-07-28,69.300003,70.822502,69.157501,70.010002,69.333534,6547600
2020-07-29,70.059998,71.214996,69.959999,70.360001,69.680145,5381600
2020-07-30,70.035004,70.610001,69.785004,70.584999,69.902969,4235200
2020-07-31,70.230003,70.705002,68.972504,70.175003,69.496941,8030400
2020-08-03,70.285004,70.464996,69.107498,69.397499,68.726952,8624400
2020-08-04,69.677498,71.307503,69.349998,71.262497,70.573929,9142400
2020-08-05,71.305000,71.500000,70.489998,70.945000,70.259499,6670800
2020-08-06,70.757500,71.192497,70.277496,70.702499,70.019341,4588000
2020-08-07,70.709999,72.352501,70.625000,71.945000,71.249832,4368800
2020-08-10,72.072502,72.279999,70.732498,70.910004,70.224838,7240000
2020-08-11,70.995003,71.144997,69.110001,69.447502,68.776474,6825200
2020-08-12,69.815002,71.492500,69.675003,71.147499,70.460045,6124400
2020-08-13,70.757500,71.364998,70.657501,71.099998,70.413002,3680000
2020-08-14,71.002502,71.035004,70.004997,70.125000,69.447418,4912800
2020-08-17,70.514999,71.267502,70.082497,70.747498,70.063904,4801200
2020-08-18,70.680000,71.292503,70.550003,70.762497,70.078758,4764800
2020-08-19,71.057503,71.065002,70.455002,70.584999,69.902969,5481600
2020-08-20,70.195000,70.940002,70.139999,70.527496,69.846024,3631200
2020-08-21,70.665001,70.760002,70.112503,70.602501,69.920311,5685600
2020-08-24,70.750000,70.779999,70.065002,70.657501,69.974777,3548800
2020-08-25,70.900002,70.912498,69.785004,70.327499,69.647964,4051600
2020-08-26,70.032501,70.352501,69.540001,69.750000,69.076050,5238800
2020-08-27,69.500000,70.120003,69.150002,69.720001,69.394554,4555600
2020-08-28,69.894997,69.992500,69.309998,69.887497,69.561264,4618400
2020-08-31,69.839996,70.912498,69.669998,69.792503,69.466713,6013600
2020-09-01,69.754997,69.879997,68.512497,69.282501,68.959091,5729600
2020-09-02,69.364998,72.425003,68.917503,72.065002,71.728607,9754400
2020-09-03,72.137497,72.772499,69.487503,70.147499,69.820053,7855200
2020-09-04,70.794998,71.500000,68.197502,69.330002,69.006371,7247600
2020-09-08,69.434998,70.207497,68.824997,69.477501,69.153183,7158000
2020-09-09,70.000000,71.705002,69.959999,70.592499,70.262978,4781600
2020-09-10,70.264999,70.497498,69.107498,69.227501,68.904350,4362800
2020-09-11,69.542503,69.797501,68.862503,69.537498,69.212898,3932800
2020-09-14,69.887497,70.997498,69.607498,70.480003,70.151009,3916400
2020-09-15,73.912498,74.824997,72.787498,73.925003,73.579926,10827600
2020-09-16,71.192497,71.737503,69.782501,70.087502,69.760338,19501600
2020-09-17,69.500000,70.067497,68.952499,69.879997,69.553802,9385600
2020-09-18,69.742500,70.497498,68.959999,69.230003,68.906845,14386000
2020-09-21,68.750000,69.172501,67.892502,69.050003,68.727684,7558800
2020-09-22,69.364998,69.987503,68.742500,69.514999,69.190506,7192800
2020-09-23,69.665001,69.665001,68.279999,68.327499,68.008553,5855200
2020-09-24,68.177498,69.940002,68.139999,69.385002,69.061119,7478400
2020-09-25,68.849998,70.532501,68.582497,70.455002,70.126122,5456800
2020-09-28,70.864998,71.507500,70.660004,71.035004,70.703415,6918400
2020-09-29,71.025002,71.482498,70.550003,70.779999,70.449600,7094000
2020-09-30,70.197502,70.782501,66.785004,69.389999,69.066093,23238400
2020-10-01,69.769997,71.010002,69.660004,70.690002,70.360023,10018400
2020-10-02,69.692497,71.787498,69.625000,70.292503,69.964386,8306000
2020-10-05,70.959999,72.245003,70.732498,71.977501,71.641518,6599200
2020-10-06,72.160004,73.125000,71.315002,72.570000,72.231247,7288400
2020-10-07,73.237503,74.442497,72.375000,74.279999,73.933266,10130400
2020-10-08,74.667503,75.495003,74.232498,75.260002,74.908691,5694400
2020-10-09,75.930000,75.930000,75.074997,75.727501,75.374008,6472000
2020-10-12,75.750000,77.014999,75.500000,76.417503,76.060791,5816400
2020-10-13,75.750000,76.080002,74.750000,75.367500,75.015686,8596800
2020-10-14,75.500000,75.820000,74.672501,75.160004,74.809158,5503200
2020-10-15,74.495003,74.972504,73.915001,74.614998,74.266701,5739200
2020-10-16,74.889999,76.550003,74.680000,76.400002,76.043373,7449600
2020-10-19,76.282501,76.907501,74.535004,74.887497,74.537926,7710400
2020-10-20,75.305000,76.025002,74.855003,75.247498,74.896248,6003200
2020-10-21,74.724998,75.620003,73.857498,74.419998,74.072609,7796000
2020-10-22,74.904999,76.077499,74.805000,75.567497,75.214752,8463600
2020-10-23,75.775002,76.387497,75.410004,75.767502,75.413826,5617200
2020-10-26,75.320000,75.737503,74.394997,75.662498,75.309311,5707600
2020-10-27,76.139999,76.430000,75.019997,75.779999,75.426262,4834200
2020-10-28,74.739998,76.050003,74.290001,74.459999,74.112427,7508900
2020-10-29,74.379997,75.029999,72.940002,74.010002,73.664528,7753100
2020-10-30,73.730003,74.349998,72.500000,73.209999,72.868256,8790500
2020-11-02,74.099998,75.449997,73.720001,75.129997,74.779297,9233600
2020-11-03,76.050003,76.930000,75.389999,76.019997,75.665138,6887900
2020-11-04,74.510002,74.910004,73.000000,73.320000,72.977745,12128800
2020-11-05,75.300003,76.250000,74.489998,74.750000,74.401070,8644100
2020-11-06,75.000000,76.059998,74.120003,75.720001,75.366547,6076100
2020-11-09,81.089996,83.339996,75.349998,75.510002,75.157524,12864500
2020-11-10,77.389999,77.529999,75.309998,75.989998,75.635284,8649200
2020-11-11,76.510002,78.379997,76.209999,77.540001,77.178047,6903300
2020-11-12,77.610001,77.900002,76.019997,76.669998,76.312111,5901900
2020-11-13,77.000000,77.730003,76.790001,77.190002,76.829681,6235000
2020-11-16,78.199997,78.279999,76.320000,77.750000,77.387070,7667600
2020-11-17,77.750000,78.470001,76.389999,76.610001,76.252388,5866300
2020-11-18,77.320000,77.360001,75.769997,75.790001,75.436218,6501900
2020-11-19,75.940002,76.019997,74.809998,75.129997,74.779297,7392300
2020-11-20,75.279999,76.330002,75.250000,75.550003,75.197342,5891000
2020-11-23,76.000000,76.019997,74.129997,74.570000,74.221909,7634600
2020-11-24,75.470001,75.660004,74.510002,74.980003,74.630005,6699600
2020-11-25,74.669998,76.019997,74.489998,75.970001,75.970001,6443100
2020-11-27,76.050003,76.129997,74.699997,75.129997,75.129997,3669300
2020-11-30,75.300003,75.400002,73.250000,73.589996,73.589996,13120300
2020-12-01,74.120003,75.570000,73.949997,74.150002,74.150002,8100200
2020-12-02,74.139999,74.360001,72.910004,74.309998,74.309998,5128800
2020-12-03,74.040001,74.550003,73.019997,73.349998,73.349998,7660500
2020-12-04,73.120003,73.550003,71.940002,72.519997,72.519997,7763800
2020-12-07,72.500000,73.790001,72.400002,73.269997,73.269997,6752200
2020-12-08,72.860001,74.290001,72.129997,73.680000,73.680000,8255400
2020-12-09,73.540001,73.900002,72.449997,73.669998,73.669998,6683700
2020-12-10,73.790001,74.110001,72.989998,73.279999,73.279999,6204600
2020-12-11,73.139999,73.889999,73.010002,73.800003,73.800003,6022500
2020-12-14,74.400002,75.220001,73.500000,73.550003,73.550003,5759900
2020-12-15,73.660004,75.300003,73.290001,74.910004,74.910004,6860200
2020-12-16,75.180000,75.750000,74.199997,74.440002,74.440002,7787700
2020-12-17,75.059998,76.019997,74.839996,75.059998,75.059998,9384200
2020-12-18,75.089996,75.540001,73.930000,74.510002,74.510002,13298300
2020-12-21,73.940002,74.550003,72.879997,74.400002,74.400002,7251400
2020-12-22,74.440002,75.230003,73.879997,74.709999,74.709999,5335300
2020-12-23,75.160004,75.550003,74.330002,74.330002,74.330002,4626400
2020-12-24,74.449997,75.160004,74.160004,74.980003,74.980003,1387500
2020-12-28,75.430000,75.879997,75.040001,75.489998,75.489998,3753700
2020-12-29,75.610001,75.870003,75.110001,75.330002,75.330002,3774900
2020-12-30,75.629997,76.279999,75.510002,75.910004,75.910004,3804800
2020-12-31,75.900002,77.190002,75.660004,77.150002,77.150002,4118800
2021-01-04,77.209999,77.500000,73.580002,74.220001,74.220001,9388400
2021-01-05,74.510002,75.180000,74.059998,74.769997,74.769997,7339300
